id,name,dept_id,salary,city
1,Ada Lovelace,3,142000,"Tampa, FL"
2,Grace Hopper,3,138000,"Ocala, FL"
3,Alan Turing,3,151000,"Tampa, FL"
4,Barbara Liskov,3,147000,"Miami, FL"
5,Katherine Johnson,3,133000,"Orlando, FL"
6,Margaret Hamilton,3,156000,"Tampa, FL"
7,Linus Torvalds,3,129000,"Ocala, FL"
8,Marie Curie,5,118000,"Miami, FL"
9,Rosalind Franklin,5,112000,"Orlando, FL"
10,Dorothy Vaughan,5,121000,"Tampa, FL"
11,Mary Jackson,1,88000,"Ocala, FL"
12,Annie Easley,1,91000,"Tampa, FL"
13,Evelyn Boyd,1,84000,
14,Frances Allen,1,96000,"Miami, FL"
15,Jean Bartik,2,103000,"Orlando, FL"
16,Betty Holberton,2,99000,"Tampa, FL"
17,Kathleen Antonelli,2,101000,"Ocala, FL"
18,Marlyn Meltzer,2,97000,"Miami, FL"
19,Ruth Teitelbaum,2,94000,"Tampa, FL"
20,Adele Goldstine,4,76000,"Orlando, FL"
21,Sister Keller,4,72000,"Tampa, FL"
22,Thelma Estrin,4,79000,
23,Erna Hoover,4,81000,"Ocala, FL"
24,Karen Jones,6,89000,"Miami, FL"
25,Sophie Wilson,6,124000,"Tampa, FL"
26,Steve Shirley,6,117000,"Orlando, FL"
27,Carol Shaw,7,93000,"Ocala, FL"
28,Roberta Williams,7,87000,"Tampa, FL"
29,Dona Bailey,7,85000,"Miami, FL"
30,Lorinda Cherry,8,108000,"Orlando, FL"
31,Elizabeth Feinler,8,111000,"Tampa, FL"
32,Radia Perlman,8,134000,"Ocala, FL"
33,Susan Kare,6,105000,"Tampa, FL"
34,Xiaoyuan Tu,1,92000,"Miami, FL"
35,Shafi Goldwasser,5,139000,"Orlando, FL"
36,Eva Tardos,5,127000,"Tampa, FL"
37,Hilary Putnam,7,82000,"Ocala, FL"
38,Peter Naur,2,98000,"Miami, FL"
39,Ole Dahl,4,74000,"Orlando, FL"
40,Kristen Nygaard,4,77000,"Tampa, FL"
41,Tony Hoare,8,119000,"Ocala, FL"
42,Edsger Dijkstra,8,126000,"Miami, FL"
43,Niklaus Wirth,7,90000,"Orlando, FL"
44,John Backus,6,113000,"Tampa, FL"
